year,ID,care,harm,fairness,cheating,authority,subversion,loyalty,betrayal,purity,degradation
1960,D1,0.456770876,0.434547905,0.440798322,0.350361945,0.451692181,0.339272144,0.434611779,0.309354727,0.316141706,0.314097894
1960,D2,0.467010634,0.441797491,0.442011414,0.354819497,0.462808594,0.351612709,0.435555039,0.317071758,0.319069749,0.310563269
1960,D3,0.465265914,0.444198539,0.440272511,0.358452127,0.461290006,0.358688913,0.434131488,0.327341899,0.319170811,0.310113882
1960,D4,0.466188394,0.444839699,0.434500425,0.341934417,0.454284308,0.353815639,0.448998562,0.325641336,0.315463847,0.306224588
1960,R1,0.45319316,0.427606804,0.428100704,0.354844832,0.438763664,0.331973813,0.417708901,0.304275862,0.301506071,0.302709683
1960,R2,0.465752301,0.43807017,0.431442407,0.362692358,0.447576318,0.352236075,0.425820156,0.325622267,0.316656236,0.320217575
1960,R3,0.463065292,0.44780844,0.428487489,0.358705928,0.446819996,0.354124476,0.423928916,0.326291383,0.315712971,0.320773513
1960,R4,0.46762914,0.445412738,0.435249728,0.35220057,0.455769628,0.355712354,0.43034418,0.32734627,0.317820948,0.313637884
1976,D1,0.453995937,0.433306498,0.439413001,0.356744671,0.437828087,0.329305393,0.42939277,0.303676565,0.310946766,0.306649521
1976,D2,0.487555452,0.45896917,0.453928852,0.360539143,0.469627117,0.366945169,0.467877212,0.350301747,0.34649484,0.335988643
1976,D3,0.456410763,0.437158817,0.433021728,0.36015489,0.43523803,0.344471116,0.424166442,0.335609489,0.332440863,0.350761516
1976,R1,0.434628649,0.415903136,0.422646944,0.331559427,0.426505084,0.316318025,0.417840631,0.293977992,0.298099357,0.299171406
1976,R2,0.469306457,0.437801287,0.449208864,0.346534751,0.470007424,0.365195968,0.467598579,0.332303135,0.32221131,0.30686551
1976,R3,0.450747027,0.427199329,0.436465886,0.353486933,0.444715855,0.335341665,0.417775347,0.323067497,0.318396989,0.339766984
1980,D1,0.486412679,0.448062747,0.464819563,0.360254243,0.468013464,0.354592991,0.467619709,0.32199465,0.33953946,0.314198752
1980,R1,0.463725064,0.448621177,0.432267588,0.361847901,0.445163487,0.348498157,0.420424429,0.325913414,0.322898036,0.32108304
1984,D1,0.473307418,0.451960694,0.440081125,0.376111329,0.443217101,0.348929667,0.422523312,0.33070427,0.337767559,0.345666881
1984,D2,0.488030938,0.464328413,0.450310873,0.36141251,0.472645888,0.367095688,0.44646476,0.343688979,0.332507197,0.320564518
1984,R1,0.450335179,0.43300352,0.421548983,0.354047649,0.428840831,0.331013331,0.399507534,0.30904189,0.310957624,0.32037858
1984,R2,0.46716776,0.455911492,0.421470414,0.346557627,0.439541889,0.364035775,0.419981201,0.347988664,0.325338482,0.327104942
1988,D1,0.48092532,0.449843285,0.434246053,0.357141545,0.445243691,0.351826935,0.445881924,0.329508581,0.332966639,0.329911996
1988,D2,0.466364356,0.444645882,0.427448921,0.351709399,0.436888107,0.338840263,0.42630253,0.320785388,0.32202102,0.320187344
1988,R1,0.45818971,0.441728615,0.417192956,0.353661017,0.431392391,0.35025547,0.408360643,0.326290745,0.32796443,0.338896725
1988,R2,0.458289008,0.444116847,0.419042036,0.357666768,0.430079402,0.353464048,0.414758628,0.333782529,0.33379803,0.343959575
1992,D1,0.485249057,0.45900221,0.432090991,0.354623506,0.450087802,0.35294728,0.4470207,0.324236013,0.321240373,0.317318511
1992,D2,0.458833374,0.441257413,0.419449173,0.348800326,0.427494747,0.332548963,0.405355463,0.309297688,0.311546213,0.321883915
