"","speaker","date","care.virtue","care.vice","fairness.virtue","fairness.vice","loyalty.virtue","loyalty.vice","authority.virtue","authority.vice","sanctity.virtue","sanctity.vice"
"1","MR. KENNEDY","October 13, 1960",0.194552529182879,0.170233463035019,0.0486381322957198,0.0243190661478599,1.11867704280156,0,0.948443579766537,0,0.0486381322957198,0.0972762645914397
"2","MR. SHADEL","October 13, 1960",0.202224469160768,0,0.404448938321537,0,0.202224469160768,0,1.9211324570273,0,0,0
"3","MR. NIXON","October 13, 1960",0.40025279123657,0.231725300189593,0.147461554666105,0.0421318727617443,1.13756056456709,0.0421318727617443,0.779439646092269,0,0.231725300189593,0
"4","MR. VON FREMD","October 13, 1960",0,0,0,0,1.2987012987013,0,3.8961038961039,0,0,0
"5","MR. CATER","October 13, 1960",0,0,0,0,0.68259385665529,0,1.70648464163823,0,0,0
"6","MR. DRUMMOND","October 13, 1960",0,0,0.275482093663912,0.275482093663912,0.550964187327824,0,1.37741046831956,0,0.275482093663912,0
"7","MR. NIXON","October 21, 1960",0.127768313458262,0.234241908006814,0.0638841567291312,0.0851788756388416,0.787904599659284,0,0.873083475298126,0.0212947189097104,0.191652470187394,0.0212947189097104
"8","MR. HOWE","October 21, 1960",0,0,0.160771704180064,0,0,0,2.09003215434084,0,0,0
"9","MR. KENNEDY","October 21, 1960",0.221818915103852,0.181488203266788,0.0403307118370639,0,1.61322847348256,0,0.665456745311555,0.0403307118370639,0,0.0604960677555959
"10","MR. SINGISER","October 21, 1960",0,0,0,0,1.26582278481013,0,3.79746835443038,0,0,0
"11","MR. EDWARDS","October 21, 1960",0,0,0,0,0,0,1.43884892086331,0,0,0
"12","MR. CRONKITE","October 21, 1960",0,0,0,0,2.68456375838926,0,0.671140939597315,0,0,0
"13","MR. CHANCELLOR","October 21, 1960",0,0,0,0,1.15606936416185,0,0.578034682080925,0,0,0
"14","MR. NIVEN","October 7, 1960",0,0,0,0,2.1978021978022,0,2.74725274725275,0,0,0
"15","MR. NIXON","October 7, 1960",0.173837461973055,0.173837461973055,0.173837461973055,0,1.06475445458496,0,0.934376358105172,0,0.0434593654932638,0.0217296827466319
"16","MR. KENNEDY","October 7, 1960",0.189873417721519,0.147679324894515,0.189873417721519,0,1.13924050632911,0,0.864978902953586,0,0.105485232067511,0
"17","MR. MORGAN","October 7, 1960",0,0,0,0,1.35135135135135,0,1.35135135135135,0,0,0
"18","MR. SPIVAK","October 7, 1960",0,0,1.21212121212121,0,0,0,2.42424242424242,0,0,0
"19","MR. LEVY","October 7, 1960",0.469483568075117,0,0.312989045383412,0,0.625978090766823,0.156494522691706,1.09546165884194,0,0,0
"20","KENNEDY","October 7, 1960",0.190114068441065,0,0.380228136882129,0.380228136882129,0.950570342205323,0,2.47148288973384,0,0,0
"21","SENATOR KENNEDY","September 26, 1960",0.158478605388273,0.0792393026941363,0.0792393026941363,0,1.98098256735341,0,0.158478605388273,0,0.158478605388273,0.0792393026941363
