"","2.5 %","97.5 %","CI"
".sig01",0.0044334051283039,0.00933323594934984,"[.004, .009]"
".sig02",0.00334942712175658,0.0108069227841393,"[.003, .011]"
".sigma",0.0115366466897695,0.012866409068592,"[.012, .013]"
"(Intercept)",0.431739527097025,0.443327301307718,"[.432, .443]"
"partyR",-0.0196453894747839,-0.00805661541074834,"[-.02, -.008]"
"moral_dimbetrayal",-0.117341701533607,-0.105752927469572,"[-.117, -.106]"
"moral_dimcare",0.0211440965840401,0.032732870648075,"[.021, .033]"
"moral_dimcheating",-0.0892081891806656,-0.0776194151166313,"[-.089, -.078]"
"moral_dimdegradation",-0.11843607023949,-0.106847296175454,"[-.118, -.107]"
"moral_dimfairness",-0.0181922603571363,-0.00660348629310085,"[-.018, -.007]"
"moral_dimharm",0.00296306755462831,0.0145518416186633,"[.003, .015]"
"moral_dimloyalty",-0.0194342342689023,-0.00784546020486611,"[-.019, -.008]"
"moral_dimsanctity",-0.122354311592431,-0.110765537528396,"[-.122, -.111]"
"moral_dimsubversion",-0.0970074349453717,-0.0854186608813368,"[-.097, -.085]"
"partyR:moral_dimbetrayal",0.00589458083025508,0.0222835822828926,"[.006, .022]"
"partyR:moral_dimcare",-0.00746711328739164,0.0089218881652446,"[-.007, .009]"
"partyR:moral_dimcheating",0.000755518300843961,0.017144519753479,"[.001, .017]"
"partyR:moral_dimdegradation",0.0129502887714317,0.0293392902240687,"[.013, .029]"
"partyR:moral_dimfairness",-0.00720103890503774,0.00918796254759767,"[-.007, .009]"
"partyR:moral_dimharm",0.00112419600672513,0.0175131974593622,"[.001, .018]"
"partyR:moral_dimloyalty",-0.0100835751403332,0.0063054263123029,"[-.01, .006]"
"partyR:moral_dimsanctity",0.00392904941849143,0.0203180508711269,"[.004, .02]"
"partyR:moral_dimsubversion",0.00237867883025597,0.0187676802828914,"[.002, .019]"
