"","Estimate","SD","t.value","moral_dim","party","CIlow","CIhigh"
"1",0.464456363822663,0.00297397059307076,156.173825290952,"care*","D",0.458678010716337,0.470265784926915
"3",0.446275334793253,0.00297397059316293,150.060439675909,"harm","D",0.440496981685903,0.452084755896532
"5",0.425120006881435,0.00297397059304743,142.946943683735,"fairness*","D",0.419341653772543,0.430929427983161
"7",0.354104078057908,0.00297397059298233,119.067780593892,"cheating","D",0.348325724951811,0.359913499162386
"9",0.437517880205033,0.00297397059315005,147.115738539167,"authority*","D",0.431739527097699,0.443327301308278
"11",0.34630483229317,0.00297397059295336,116.44527794381,"subversion","D",0.340526479183625,0.352114253394252
"13",0.423878032969703,0.00297397059310636,142.52932895579,"loyalty*","D",0.418099679863657,0.429687454074199
"15",0.325970565704992,0.00297397059307438,109.607864470514,"betrayal","D",0.32019221259951,0.331779986810094
"17",0.320957955646181,0.00297397059314619,107.92237031054,"sanctity","D",0.315179602538234,0.326767376748851
"19",0.324876196999055,0.00297397059296806,109.239882118278,"degradation*","D",0.319097843892569,0.330685618103153
"12",0.451332748822569,0.00297397059296799,151.760999214233,"care*","R",0.445554395716908,0.457142169927519
"31",0.441743029087376,0.00297397059318504,148.536448241837,"harm","R",0.435964675982681,0.447552450193181
"51",0.412262466263816,0.00297397059305964,138.623585325932,"fairness*","R",0.406484113157307,0.418071887367873
"71",0.349203094646063,0.0029739705929812,117.419820986196,"cheating","R",0.343424741541116,0.355012515751699
"91",0.423666877763702,0.00297397059287714,142.458327859197,"authority*","R",0.417888524658632,0.429476298869181
"111",0.343027009410863,0.00297397059309549,115.343107362007,"subversion","R",0.337248656305599,0.348836430516154
"131",0.408137956116728,0.0029739705930317,137.236715478302,"loyalty*","R",0.40235960300917,0.413947377219761
"151",0.326208644822671,0.0029739705930674,109.687918765267,"betrayal","R",0.320430291719953,0.332018065930463
"171",0.319230503352085,0.00297397059312479,107.341513090304,"sanctity","R",0.313452150246038,0.32503992445666
"191",0.332169984057937,0.00297397059314277,111.692423867216,"degradation*","R",0.326391630951144,0.33797940516175
